id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references	langlinks	univ_age	page_age	pp_top	1y_views	2y_views
3341	Xidian Univ	9438	6252	1092	651	6017	2746	156.0	Xidian_University	1931.0	463537	0	Xidian_University	0	0	20210626181005	20210625080837.0	1030329820	14554	wikitext	332.0	2004-02-10	115.0	3239.0	6.0	4	90.0	17	0.11570247933884298	15170	33185
3342	Army Med Univ	5176	3211	539	293	3521	3085	156.0	Third_Military_Medical_University		19157362	0	Army_Medical_University	0	0	20210630154021	20210630154649.0	1024448086	2097	wikitext	34.0	2008-09-03	24.0	721.0		2		13	0.10413446676970634	4713	9672
3343	Nanjing Univ Aeronaut & Astronaut	10052	6625	1006	572	6654	2413	156.0	Nanjing_University_of_Aeronautics_and_Astronautics	1952.0	919136	0	Nanjing_University_of_Aeronautics_and_Astronautics	0	0	20210626181308	20210623135131.0	1028633751	17641	wikitext	258.0	2004-08-22	87.0	2328.0	19.0	7	69.0	17	0.10007958615200956	13645	29245
3344	S China Normal Univ	5353	3017	505	239	4175	1779	156.0	South_China_Normal_University	1933.0	12342605	0	South_China_Normal_University	0	0	20210626184011	20210623134957.0	1029721615	12446	wikitext	93.0	2007-07-20	56.0	1940.0	11.0	6	88.0	14	0.09433962264150944	11195	24691
3345	Northeast Normal Univ	4383	2677	395	218	3227	1264	156.0	Northeast_Normal_University	1946.0	919180	0	Northeast_Normal_University	0	0	20210626181308	20210623122324.0	1006417521	7996	wikitext	140.0	2004-08-22	70.0	1073.0	2.0	5	75.0	17	0.09012092174309834	8386	19818
3346	Nanjing Univ Sci & Technol	9719	5855	1227	658	6812	2223	156.0	Nanjing_University_of_Science_and_Technology	1953.0	919147	0	Nanjing_University_of_Science_and_Technology	0	0	20210626181308	20210623122857.0	1028633968	11448	wikitext	156.0	2004-08-22	72.0	1859.0	8.0	6	68.0	17	0.12624755633295606	11566	26717
3347	Nanjing Tech Univ	8715	4843	948	457	6826	1622	156.0	Nanjing_University_of_Technology		4095357	0	Nanjing_Tech_University	0	0	20210626182604	20210623135551.0	1028396786	10144	wikitext	128.0	2006-02-16	72.0	1515.0		1		15	0.10877796901893287	7464	15490
3348	Natl Univ Defense Technol	7830	5541	676	419	4423	3061	156.0	National_University_of_Defense_Technology	1953.0	20831537	0	National_University_of_Defense_Technology	0	0	20210701023813	20210627001809.0	1022100395	10968	wikitext	204.0	2008-12-24	89.0	2784.0	3.0	9	68.0	13	0.08633461047254151	16420	37060
3349	Donghua Univ	5750	3370	617	318	4297	1290	156.0	Donghua_University	1951.0	919367	0	Donghua_University	0	0	20210630195554	20210630201040.0	1021789626	4713	wikitext	230.0	2004-08-22	101.0	3191.0	5.0	8	70.0	17	0.10730434782608696	14649	30089
3350	Ocean Univ China	7770	4390	746	354	6255	2039	156.0	Ocean_University_of_China	1924.0	505985	0	Ocean_University_of_China	0	0	20210626181024	20210623134406.0	1022067203	16081	wikitext	213.0	2004-03-05	113.0	2034.0	10.0	4	97.0	17	0.09601029601029601	12501	27506
3351	Northeastern Univ	10954	7425	1099	674	6996	2726	156.0	Northeastern_University_(China)	1923.0	929918	0	Northeastern_University_(China)	0	0	20210630195554	20210630205133.0	1024408187	15053	wikitext	151.0	2004-08-25	101.0	2589.0	2.0	7	98.0	17	0.10032864706956363	14103	29685
3352	Jiangsu Univ	12953	8220	1283	741	8990	3730	156.0	Jiangsu_University	1902.0	21502213	0	Jiangsu_University	0	0	20210626185502	20210626185556.0	1001227099	23481	wikitext	116.0	2009-02-12	60.0	2445.0	4.0	2	119.0	12	0.0990504130317301	14306	33049
3353	Southwest Univ	9024	5641	880	484	6338	2841	156.0	Southwest_University	1906.0	4528864	0	Southwest_University	0	0	20210626182700	20210623130836.0	1024313835	12378	wikitext	162.0	2006-03-27	86.0	4450.0	3.0	8	115.0	15	0.0975177304964539	17599	36912
3354	China Pharmaceut Univ	5140	3215	523	314	3523	1584	156.0	China_Pharmaceutical_University	1936.0	14466053	0	China_Pharmaceutical_University	0	0	20210626212210	20210627024412.0	1005456956	8930	wikitext	77.0	2007-11-28	46.0	1116.0	3.0	1	85.0	14	0.10175097276264591	7382	17519
3356	Northwest Agr & Forestry Univ	9214	5892	1024	603	6663	3666	156.0	Northwest_A&F_University	1934.0	19478013	0	Northwest_A&F_University	0	0	20210626185137	20210627052737.0	1019481106	22345	wikitext	198.0	2005-09-22	95.0	1319.0	2.0	3	87.0	16	0.11113522899934881	8474	17848
3357	Zhejiang Univ Technol	6921	3950	750	362	5094	1661	156.0	Zhejiang_University_of_Technology	1953.0	4787846	0	Zhejiang_University_of_Technology	0	0	20210626182737	20210623171329.0	1025619794	9283	wikitext	264.0	2006-04-17	94.0	1944.0		8	68.0	15	0.10836584308625921	10448	22871
3358	Beijing Univ Technol	7217	4399	794	403	5085	1923	156.0	Beijing_University_of_Technology	1960.0	2853907	0	Beijing_University_of_Technology	0	0	20210626182226	20210623132157.0	1025622120	11784	wikitext	154.0	2005-10-07	82.0	1853.0	4.0	6	61.0	16	0.11001801302480255	11831	28507
3359	Wuhan Univ Technol	8970	5463	1168	650	6618	2241	156.0	Wuhan_University_of_Technology	1948.0	1136582	0	Wuhan_University_of_Technology	0	0	20210626181432	20210623123330.0	1023890339	15360	wikitext	158.0	2004-11-06	79.0	1758.0	10.0	7	73.0	17	0.1302118171683389	11980	36442
3360	Harbin Med Univ	5948	3885	521	304	3844	3432	156.0	Harbin_Medical_University	1926.0	20868542	0	Harbin_Medical_University	0	0	20210623131537	20210623140152.0	1012216461	12820	wikitext	123.0	2008-12-28	48.0	1250.0	1.0	2	95.0	13	0.08759246805648957	9920	22764
3361	Fuzhou Univ	5903	3454	766	426	4309	1449	156.0	Fuzhou_University	1958.0	919022	0	Fuzhou_University	0	0	20210626181308	20210623142126.0	990580480	6451	wikitext	110.0	2004-08-22	66.0	1229.0	2.0	9	63.0	17	0.1297645265119431	8021	17198
3362	Jinan Univ	10209	4878	1098	435	8364	4024	156.0	Jinan_University	1906.0	322992	0	Jinan_University	0	0	20210626180908	20210623123113.0	1024410055	17532	wikitext	308.0	2003-09-20	126.0	3416.0	13.0	9	115.0	18	0.10755215985894799	17963	39738
3363	Chongqing Med Univ	6409	4109	539	314	4311	3450	156.0	Chongqing_Medical_University	1956.0	20868249	0	Chongqing_Medical_University	0	0	20210626185338	20210627021557.0	1021834359	5351	wikitext	107.0	2008-12-28	48.0	951.0	2.0	1	65.0	13	0.08410048369480418	5995	13735
3364	Beijing Jiaotong Univ	7338	4603	826	451	5115	2413	156.0	Beijing_Jiaotong_University	1896.0	919306	0	Beijing_Jiaotong_University	0	0	20210626181309	20210623132737.0	1007370675	16676	wikitext	409.0	2004-08-22	219.0	2177.0	4.0	8	125.0	17	0.11256473153447806	15319	39696
3365	Peking Union Med Coll	13888	7712	1356	554	10174	8064	156.0	Peking_Union_Medical_College	1956.0	919947	0	Peking_Union_Medical_College	0	0	20210628064807	20210628064911.0	1030822522	17262	wikitext	306.0	2004-08-22	144.0	4098.0	15.0	6	65.0	17	0.09763824884792627	23880	47193
